id,tclase
54745,NON
5595,NON
53477,NON
7385,OFF
551,NON
41578,NON
26154,NON
42325,NON
56393,OFF
35553,NON
21996,NON
58028,NON
55794,NON
8253,NON
16096,NON
52772,NON
35265,OFF
42548,NON
6028,NON
44803,NON
56979,NON
50036,NON
24068,NON
33971,NON
1417,NON
55686,NON
53541,NON
43206,NON
21750,NON
30362,NON
47767,OFF
12883,NON
56349,NON
5138,OFF
31250,NON
11575,NON
15820,OFF
27580,NON
48594,NON
14485,NON
22914,OFF
53537,OFF
39543,NON
1126,NON
8476,NON
11299,NON
39533,NON
56616,NON
28322,NON
42291,NON
47838,NON
24622,NON
27853,NON
25545,NON
27325,NON
323,NON
33024,NON
57061,NON
40666,OFF
8063,NON
52586,NON
20178,OFF
13994,NON
53657,NON
55581,NON
13972,OFF
44049,NON
48420,NON
24823,NON
22105,NON
28026,NON
7133,NON
51320,NON
35806,NON
22829,NON
34810,NON
33726,NON
44099,NON
4363,NON
12415,NON
18109,OFF
4924,NON
13912,OFF
34154,NON
22052,NON
54770,NON
4969,NON
10251,NON
13294,OFF
32361,NON
7306,NON
2780,NON
29804,NON
17785,NON
13857,NON
10790,NON
46178,NON
5789,NON
57599,NON
58401,NON
8308,NON
33643,NON
27668,NON
41033,NON
31323,NON
10087,OFF
46511,NON
22071,NON
12628,NON
13774,NON
30826,NON
45950,NON
13405,NON
30640,NON
4330,NON
24210,NON
31035,NON
2984,NON
7759,NON
2970,NON
3863,NON
46477,NON
59008,OFF
31784,OFF
6210,NON
2238,NON
11153,NON
44817,OFF
7517,NON
50202,NON
10069,NON
51851,NON
21222,NON
43664,NON
3851,NON
17683,NON
140,NON
44077,OFF
8971,NON
5894,NON
39135,OFF
234,OFF
1419,OFF
36302,NON
41781,NON
49308,NON
50688,NON
45162,OFF
7124,NON
52361,NON
11412,NON
20027,NON
52877,NON
8639,NON
41480,NON
21660,NON
53938,NON
14937,NON
49037,OFF
10118,NON
12103,NON
10544,OFF
26142,NON
43784,OFF
1634,NON
28564,NON
50260,OFF
1475,NON
18918,NON
27779,NON
21264,NON
15175,NON
44940,NON
23497,NON
4430,NON
2158,NON
59023,NON
40885,NON
14228,OFF
25750,NON
1869,NON
56337,NON
16464,NON
6636,NON
2937,NON
44981,OFF
30665,NON
11831,NON
11709,NON
13390,NON
13909,NON
52180,NON
43322,OFF
50576,NON
3155,NON
58430,NON
1776,NON
10554,NON
15855,NON
30367,NON
6938,NON
9765,OFF
51458,OFF
29180,NON
50462,NON
9940,NON
42907,NON
16349,NON
13239,NON
7763,NON
54215,NON
16091,NON
13751,OFF
55704,NON
23918,NON
32945,NON
3314,NON
31079,NON
19608,OFF
52934,NON
54604,NON
32975,NON
8117,NON
35010,OFF
4635,NON
33435,NON
9243,NON
16971,OFF
8085,NON
36830,OFF
53200,OFF
46773,NON
45209,NON
16705,NON
10451,OFF
35934,NON
59565,NON
22373,NON
45573,OFF
10136,NON
37829,NON
298,NON
10122,NON
41391,NON
14585,NON
8931,OFF
40802,OFF
39392,NON
45930,NON
28444,OFF
13136,NON
46812,NON
54736,NON
5922,NON
51154,NON
8159,NON
58704,NON
16704,NON
9084,OFF
29666,NON
18372,OFF
53130,NON
54912,NON
32967,NON
10035,NON
30374,NON
25743,NON
49500,OFF
47404,NON
19114,OFF
48922,NON
47276,NON
7814,NON
22357,NON
34191,NON
49128,NON
7904,NON
26589,NON
31757,NON
57200,NON
19914,NON
58747,NON
14288,NON
47218,OFF
38091,NON
51945,NON
25253,NON
53485,NON
37471,NON
59961,NON
5296,NON
44988,NON
20549,NON
53083,OFF
39689,NON
43934,NON
28815,NON
21937,NON
12436,NON
32407,NON
35456,NON
45123,OFF
12283,NON
14952,NON
35426,NON
13080,NON
28372,OFF
5466,NON
22957,OFF
46480,NON
21542,NON
57863,NON
52720,NON
50146,NON
28661,NON
3920,NON
55408,NON
14335,NON
46289,NON
56850,NON
15993,NON
34654,NON
48039,NON
3802,NON
19058,NON
20950,NON
43007,OFF
5158,NON
38086,OFF
42143,OFF
37835,NON
56669,NON
40081,NON
31782,NON
48535,NON
21105,NON
41574,NON
41884,NON
11856,NON
53208,NON
43478,NON
883,NON
25431,OFF
41230,NON
36084,NON
47595,NON
43137,OFF
21545,NON
27297,NON
46534,NON
57494,NON
